result_id	ground_truth_pathway	category
PMC9810534-4	G Protein-Coupled Receptor Signaling Pathway	4
PMC9810534-4	Positive Regulation Of Stat Cascade	4
PMC9810534-4	Regulation Of Calcium Ion Transport	4
PMC9810534-4	Stress-Activated Protein Kinase Signaling Cascade	4
PMC9810534-4	Ras Protein Signal Transduction	4
PMC9810534-4	Regulation Of Calcium Ion Transmembrane Transport	4
PMC9810534-4	Cellular Calcium Ion Homeostasis	4
PMC9810534-4	Regulation Of Jnk Cascade	4
PMC9810534-4	Small Gtpase Mediated Signal Transduction	4
PMC9810534-4	Phosphatidylinositol 3-Kinase Signaling	4
PMC9810534-4	Regulation Of Nitric-Oxide Synthase Activity	6
PMC9810534-4	Nf-Kb Signaling	1
PMC9810534-4	Nucleotide Receptor Activity	2
PMC9810534-4	Lipoprotein Particle Binding	2
PMC9810534-4	Protein-Lipid Complex Binding	4
PMC9810534-4	Amide Binding	2
PMC9810534-4	Phospholipid Binding	4
PMC9810534-4	Cellular Amino Acid Metabolic Process	5
PMC9810534-4	Icosanoid Metabolic Process	5
PMC9810534-4	Fatty Acid Derivative Metabolic Process	5
PMC9810534-4	Positive Regulation Of Lipid Metabolic Process	5
PMC9810534-4	Lipid Transport	5
PMC9810534-4	Fatty Acid Derivative Biosynthetic Process	5
PMC9810534-4	Response To Oxidative Stress	6
PMC9810534-4	Glucose Homeostasis	5
PMC9810534-3	Regulation Of Cell Activation	1
PMC9810534-3	Regulation Of Leukocyte Activation	1
PMC9810534-3	Response To Bacterium	1
PMC9810534-3	Taxis	1
PMC9810534-3	Chemotaxis	1
PMC9810534-3	Leukocyte Migration	1
PMC9810534-3	Positive Regulation Of Cytokine Production	1
PMC9810534-3	Cell Chemotaxis	1
PMC9810534-3	Regulation Of Inflammatory Response	1
PMC9810534-3	Response To Molecule Of Bacterial Origin	1
PMC9810534-3	"""Positive Regulation Of Response To External Stimulus"""	1
PMC9810534-3	Myeloid Leukocyte Migration	2
PMC9810534-3	Leukocyte Chemotaxis	1
PMC9810534-3	Myeloid Leukocyte Activation	2
PMC9810534-3	Granulocyte Migration	2
PMC9810534-3	"""Tumor Necrosis Factor Superfamily Cytokine Production"""	1
PMC9810534-3	"""Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production"""	1
PMC9810534-3	Interleukin-6 Production	1
PMC9810534-3	Neutrophil Migration	2
PMC9810534-3	Granulocyte Chemotaxis	2
PMC9810534-2	Macrophage Migration	1
PMC9810534-2	Autophagy	1
PMC9810534-2	Myeloid Cell Differentiation	1
PMC9810534-2	Tlr Signaling	2
PMC9810534-2	Nfkb Targets	2
PMC9810534-2	Activation	2
PMC9810534-2	Antigen Presentation	2
PMC9810534-2	Phagocytosis	1
PMC9810534-2	Chemokine Activity	2
PMC9810534-2	Cytokine Activity	2
PMC9810534-2	Cell Killing	2
PMC9810534-2	Cellular Response To Il-1	2
PMC9810534-2	Classical M1 Vs. Alternative M2Macrophage Activation (Up-Regulation)	1
PMC9810534-2	Myeloid Leukocyte Differentiation	1
PMC9810534-2	Myeloid Cell Differentiation	1
PMC9810534-2	Leukocyte Differentiation	2
PMC9810534-2	Regulation Of Leukocyte Activation	2
PMC9810534-2	Myeloid Leukocyte Activation	1
PMC9810534-2	Phagocytosis	1
PMC9810534-2	Regulation Of Phagocytosis	1
PMC9810534-2	Phagocytosis, Engulfment	1
PMC9810534-2	Negative Regulation Of Phagocytosis	1
PMC9810534-2	Toll-Like Receptor Signaling Pathway	2
PMC9810534-2	Regulation Oftoll-Like Receptor Signaling Pathway	2
PMC9810534-2	Toll-Like Receptor Signaling Pathway	2
PMC9810534-2	Interleukin-6 Production	2
PMC9810534-2	Interleukin-1 Production	2
PMC9810534-2	Interleukin-10 Production	2
PMC9810534-2	Regulation Of Interleukin-10 Production	2
PMC9810534-2	Positive Regulation Of Interferon-Gamma Production	2
PMC9810534-2	Interleukin-17 Production	2
PMC9810534-2	Type I Interferon Production	2
PMC9810534-2	L-Amino Acid Transmembrane Transporter Activity	1
PMC9810534-2	Phospholipid Binding	3
PMC9810534-2	Amino Acid Transmembrane Transporter Activity	3
PMC9810534-2	Iron Ion Transmembrane Transporter Activity	3
PMC9810534-2	Neutral Amino Acid Transmembrane Transporter Activity	3
PMC9810534-2	Ferrous Iron Binding	3
PMC9810534-2	Lipid Transport	3
PMC9810534-2	Regulation Of Lipid Transport	3
PMC9810534-2	Lipid Storage	3
PMC9810534-2	Response To Nutrient Levels	3
PMC9810534-2	Positive Regulation Of Lipid Storage	3
PMC9810534-2	Fatty Acid Transport	3
PMC9810534-2	Hexose Transmembrane Transport	3
PMC9810534-2	Glucose Transmembrane Transport	3
PMC9810534-2	Regulation Of Glucose Transmembrane Transport	3
PMC9810534-2	Monosaccharide Transmembrane Transport	3
PMC9810534-2	Regulation Of Purine Nucleotide Metabolic Process	3
PMC9810534-2	Monocarboxylic Acid Transport	3
PMC9810534-2	Carbohydrate Transmembrane Transport	3
PMC9810534-2	Regulation Of Atp Metabolic Process	3
PMC9810534-2	Regulation Of Atp Biosynthetic Process	3
PMC9810534-2	Amino Acid Transport	3
PMC9810534-2	Regulation Of Glucose Import	3
PMC9810534-2	Arginine Catabolic Process	3
PMC9810534-2	Arginine Transport	3
PMC9810534-2	Positive Regulation Of Glucose Import	3
PMC9810534-2	Regulation Of Glycogen Biosynthetic Process	3
PMC9810534-2	Positive Regulation Of Cholesterol Storage	3
PMC9810534-2	Cholesterol Metabolism	3
PMC9810534-1	Myeloid Leukocyte Migration	1
PMC9810534-1	Neutrophil-Mediated Immunity	1
PMC9810534-1	Notch Signaling	3
PMC9810534-1	Phagosome	1
PMC9810534-1	Myeloid Cell Differentiation	1
PMC9810534-1	Autophagy	2
PMC9810534-1	Antigen Processing And Presentation	2
PMC9810534-1	Mitosis	4
PMC9810534-1	Hoxa Signaling	3
PMC9810534-1	Prc2-Ezh2 Targets	3
PMC9810534-1	Myeloid Cell Differentiation	1
PMC9810534-1	Leukocyte Differentiation	1
PMC9810534-1	Developmental Maturation	1
PMC9810534-1	Myeloid Leukocyte Differentiation	1
PMC9810534-1	Regulation Of Leukocyte Differentiation	1
PMC9810534-1	Granulocyte Differentiation	1
PMC9810534-1	Myeloid Leukocyte Differentiation	1
PMC9810534-1	Myeloid Cell Development	1
PMC9810534-1	Leukocyte Differentiation	1
PMC9810534-1	Developmental Maturation	1
PMC9810534-1	Response To Bacterium	2
PMC9810534-1	Defense Response To Other Organism	2
PMC9810534-1	Defense Response To Bacterium	2
PMC9810534-1	Defense Response To Gram-Negative Bacterium	2
PMC9810534-1	Defense Response To Gram-Positive Bacterium	2
PMC9810534-1	Antimicrobial Peptides	2
PMC9810534-1	Neutrophil Mediated Immunity	1
PMC9810534-1	Cell Killing	2
PMC9750880-3	Pi3K-Akt Signaling Pathway	1
PMC9750880-3	Pathways In Cancer	1
PMC9750880-3	Focal Adhesion	2
PMC9750880-3	Amoebiasis	2
PMC9750880-3	Rap1 Signaling Pathway	2
PMC9750880-3	Staphylococcus Aureus Infection	3
PMC9750880-3	Ras Signaling Pathway	2
PMC9750880-3	Ecm-Receptor Interaction	2
PMC9750880-3	Cytokine-Cytokine Receptor Interaction	3
PMC9750880-3	Mapk Signaling Pathway	1
PMC9750880-2	Small Cell Lung Cancer	1
PMC9750880-2	Pathways In Cancer	1
PMC9750880-2	Pi3K-Akt Signaling Pathway	2
PMC9750880-2	Focal Adhesion	3
PMC9750880-2	Ecm-Receptor Interaction	3
PMC9750880-2	Proteoglycans In Cancer	2
PMC9750880-2	Gap Junction	3
PMC9750880-2	Rap1 Signaling Pathway	3
PMC9750880-2	Amoebiasis	3
PMC9750880-2	Rheumatoid Arthritis	4
PMC9750880-1	Angiogenesis	1
PMC9750880-1	Cell Migration	1
PMC9750880-1	Wound Healing	1
PMC9750880-1	Protein Phoshorylation	2
PMC9750880-1	Intracellular Signaling Transduction	2
PMC9750880-1	Negative Regulation Of Cell Proliferation	3
PMC9750880-1	Actin Cytoskeleton Organization	1
PMC9750880-1	Cell-Cell Adhension	1
PMC9750880-1	Phosphorylation	2
PMC9750880-1	Dendritic Spine Development	4
PMC9279158-2	Spliceosome	1
PMC9279158-2	Proteasome	2
PMC9279158-2	Rna Polymerase	1
PMC9279158-2	Cell Cycle	3
PMC9279158-2	Basal Transcription Factors	1
PMC9279158-2	Rna Degradation	1
PMC9279158-2	Aminoacyl Trna Biosynthesis	1
PMC9279158-2	Dna Replication	3
PMC9279158-2	Nucleotide Excision Repair	3
PMC9279158-2	Focal Adhesion	4
PMC9279158-2	Ecm Receptor Interaction	4
PMC9279158-2	Mapk Signaling Pathway	5
PMC9279158-2	Arrhythmogenic Right Ventricular Cardiomyopathy Arvc	6
PMC9279158-2	Gnrh Signaling Pathway	6
PMC9279158-2	Hypertrophic Cardiomyopathy Hcm	4
PMC9279158-2	Axon Guidance	6
PMC9279158-2	Regulation Of Actin Cytoskeleton	4
PMC9279158-2	Pancreatic Cancer	6
PMC9279158-2	Hematopoietic Cell Lineage	7
PMC9279158-2	Vegf Signaling Pathway	4
PMC9279158-2	Leukocyte Transendothelial Migration	4
PMC9279158-2	Phosphatidylinositol Signaling System	6
PMC9279158-2	Pathways In Cancer	6
PMC9279158-2	Dilated Cardiomyopathy	4
PMC9279158-2	Adherens Junction	4
PMC9279158-2	Gap Junction	4
PMC9279158-2	Calcium Signaling Pathway	6
PMC9279158-2	Complement And Coagulation Cascades	7
PMC9279158-2	Melanogenesis	6
PMC9279158-2	Cell Adhesion Molecules Cams	4
PMC9279158-2	Glioma	6
PMC9279158-2	Long Term Depression	6
PMC9279158-2	Type Ii Diabetes Mellitus	5
PMC9279158-2	Intestinal Immune Network For Iga Production	7
PMC9279158-1	Myc Targets V1	1
PMC9279158-1	Myc Targets V2	1
PMC9279158-1	E2F Targets	1
PMC9279158-1	Oxidative Phosphorylation	1
PMC9279158-1	Unfolded Protein Response	1
PMC9279158-1	Dna Repair	2
PMC9279158-1	Wnt Beta Catenin Signaling	3
PMC9279158-1	Epithelial Mesenchymal Transition	3
PMC9279158-1	Interferon Gamma Response	4
PMC9279158-1	Glycolysis	1
PMC9279158-1	Apical Junction	3
PMC9279158-1	Inflammatory Response	4
PMC9279158-1	Mitotic Spindle	5
PMC9279158-1	Uv Response Dn	5
PMC9279158-1	Estrogen Response Early	6
PMC9279158-1	Complement	4
PMC9279158-1	Interferon Alpha Response	4
PMC9279158-1	Coagulation	4
PMC9279158-1	Estrogen Response Late	6
PMC9279158-1	Pancreas Beta Cells	1
PMC9279158-1	Myogenesis	3
PMC9279158-1	Heme Metabolism	1
PMC9279158-1	Hypoxia	1
PMC9279158-1	Apoptosis	1
PMC9279158-1	Androgen Response	6
PMC9279158-1	Tnfa Signaling Via Nfkb	4
PMC9279158-1	Protein Secretion	1
PMC9279158-1	Il2 Stat5 Signaling	4
PMC9279158-1	Kras Signaling Dn	4
PMC9279158-1	Fatty Acid Metabolism	3
PMC9279158-1	P53 Pathway	2
PMC9232499-2	Response To Stress	1
PMC9232499-2	Positive Regulation Of Multicellular Organismal Process	2
PMC9232499-2	Response To Extremal Stimulus	3
PMC9232499-2	Defense Response	3
PMC9232499-1	Positive Regulation Of Cell Migration	1
PMC9232499-1	Positive Regulation Of Cell Motility	1
PMC9232499-1	Positive Regulation Of Locomotion	1
PMC9232499-1	Positive Regulation Of Cellular Component Movement	1
PMC9232499-1	Regulation Of Cell Migration	1
PMC9232499-1	Regulation Of Cell Motility	1
PMC9232499-1	Regulation Of Locomotion	1
PMC9232499-1	Regulation Of Cellular Component Movement	1
PMC9232499-1	Collagen Metabolic Process	1
PMC9232499-1	Cell Migration	1
PMC9232499-1	Locomotion	1
PMC9232499-1	Cell Motility	1
PMC9232499-1	Localization Of Cell	1
PMC9232499-1	Extracellular Matrix Organization	1
PMC9232499-1	Extracellular Structure Organization	1
PMC9205785-3	Regulation Of Humoral Immune Response	1
PMC9205785-3	Immunoglobulin Production	1
PMC9205785-3	B Cell Mediated Immunity	1
PMC9205785-3	Regulation Of Complement Activation	1
PMC9205785-3	Regulation Of Blood Pressure	2
PMC9205785-3	Immunoglobulin-Mediated Immune Response	1
PMC9205785-3	Complement Activation	1
PMC9205785-3	Terapyrrole Binding	3
PMC9205785-3	Heme Binding	3
PMC9205785-2	T Cell Receptor Complex	1
PMC9205785-2	Lymphocyte Chemotaxis	1
PMC9205785-2	Lymphocyte Migration	1
PMC9205785-2	Neutrophil Chemotaxis	2
PMC9205785-2	Endocytic Vesicle Lumen	2
PMC9205785-2	Chemokine Activity	2
PMC9205785-2	Chemokine Receptor Binding	2
PMC9205785-2	Positive Regulation Of Interleukin-1 Secretion	1
PMC9205785-2	B Cell Receptor Signaling Pathway	2
PMC9205785-2	Phagocytosis Recognition	2
PMC9205785-2	Immunoglobulin Complex, Circulating	2
PMC9205785-2	Immunoglobulin Receptor Binding	2
PMC9205785-1	B Cell Receptor Signaling Pathway	1
PMC9205785-1	Complement Activation Pathway	2
PMC9205785-1	Regulation Of Humoral Immune Response	1
PMC9205785-1	Immunoglobulin Complex, Circulating	1
PMC9205785-1	Immunoglobulin Receptor Binding	1
PMC9205785-1	Phagocytosis Recognition	2
PMC9205785-1	Positive Regulation Of Bone Resorption	3
PMC9205785-1	Positive Regulation Of Bone Remodeling	3
PMC9205785-1	Positive Regulation Of Tissue Remodeling	3
PMC9203705	Benporath Prc2 Targets	1
PMC9203705	Jaatinen Hematopoietic Stem Cells	2
PMC9203705	Manno Midbrain Neurotypes Hda2	3
PMC9203705	Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules	4
PMC9203705	Mtorc1 Signaling	5
PMC9203705	E2F Targets	5
PMC9178829-2	Chromosome Organization	1
PMC9178829-2	Rna Processing	2
PMC9178829-2	Ribonucleoprotein Complex Biogenesis	2
PMC9178829-2	Ribosome Biogenesis	2
PMC9178829-2	Rrna Metabolic Process	2
PMC9178829-2	Cell Cycle	1
PMC9178829-2	Regulation Of Organelle Organization	2
PMC9178829-2	Negative Regulation Of Nucleobase Containing Compound Metabolic Process	1
PMC9178829-2	Rna Splicing	2
PMC9178829-2	Mrna Metabolic Process	2
PMC9178829-2	Protein Containing Complex Subunit Organization	2
PMC9178829-2	Mitotic Cell Cycle	1
PMC9178829-2	Mrna Processing	2
PMC9178829-2	Negative Regulation Of Rna Biosynthetic Process	2
PMC9178829-2	Negative Regulation Of Biosynthetic Process	2
PMC9178829-2	Ncrna Processing	2
PMC9178829-2	Chromatin Organization	1
PMC9178829-2	Ncrna Metabolic Process	2
PMC9178829-2	Actin Filament Based Process	3
PMC9178829-2	Rna Splicing Via Transesterification Reactions	2
PMC9178829-2	Rna Binding	2
PMC9178829-2	Ribonucleotide Binding	2
PMC9178829-2	Hydrolase Activity Acting On Acid Anhydrides	4
PMC9178829-2	Adenyl Nucleotide Binding	1
PMC9178829-2	Protein Containing Complex Binding	2
PMC9178829-2	Identical Protein Binding	2
PMC9178829-2	Cytoskeletal Protein Binding	3
PMC9178829-2	Oxidoreductase Activity	4
PMC9178829-2	Protein Domain Specific Binding	2
PMC9178829-2	Histone Binding	1
PMC9178829-2	Chromatin Binding	1
PMC9178829-2	Guanyl Nucleotide Binding	1
PMC9178829-2	Single Stranded Dna Binding	1
PMC9178829-2	Gtpase Activity	3
PMC9178829-2	Actin Binding	3
PMC9178829-2	Catalytic Activity Acting On Rna	2
PMC9178829-2	Catalytic Activity Acting On Dna	1
PMC9178829-2	Helicase Activity	1
PMC9178829-2	Enzyme Regulator Activity	3
PMC9178829-2	Oxidoreductase Activity Acting On The Ch Nh Group Of Donors Nad Or Nadp As Acceptor	4
PMC9178829-2	Neurotrophin Signaling Pathway	0
PMC9178829-2	Spliceosome	2
PMC9178829-2	Regulation Of Actin Cytoskeleton	3
PMC9178829-2	Fc Gamma R Mediated Phagocytosis	5
PMC9178829-2	P53 Signaling Pathway	1
PMC9178829-2	Renal Cell Carcinoma	0
PMC9178829-2	Focal Adhesion	3
PMC9178829-2	Leukocyte Transendothelial Migration	3
PMC9178829-2	Pathogenic Escherichia Coli Infection	5
PMC9178829-2	Colorectal Cancer	0
PMC9178829-2	Pyrimidine Metabolism	1
PMC9178829-2	Pancreatic Cancer	0
PMC9178829-2	Aldosterone Regulated Sodium Reabsorption	4
PMC9178829-2	Fc Epsilon Ri Signaling Pathway	5
PMC9178829-2	Type Ii Diabetes Mellitus	4
PMC9178829-2	Cell Cycle	1
PMC9178829-2	Chemokine Signaling Pathway	5
PMC9178829-2	Homologous Recombination	1
PMC9178829-2	Pathways In Cancer	0
PMC9178829-2	Cysteine And Methionine Metabolism	4
PMC9178829-1	Cell Activation	0
PMC9178829-1	Regulation Of Cell Death	1
PMC9178829-1	Negative Regulation Of Response To Stimulus	5
PMC9178829-1	Apoptotic Process	1
PMC9178829-1	Regulation Of Intracellular Signal Transduction	5
PMC9178829-1	Regulation Of Cell Population Proliferation	2
PMC9178829-1	Negative Regulation Of Signaling	5
PMC9178829-1	Positive Regulation Of Molecular Function	0
PMC9178829-1	Regulation Of Phosphorylation	5
PMC9178829-1	Regulation Of Immune System Process	3
PMC9178829-1	Positive Regulation Of Signaling	5
PMC9178829-1	Negative Regulation Of Cell Death	1
PMC9178829-1	Immune Effector	3
PMC9178829-1	Regulation Of Phosphorus Metabolic Process	6
PMC9178829-1	Response To Endogenous Stimulus	5
PMC9178829-1	Positive Regulation Of Multicellular Organismal Process	0
PMC9178829-1	Positive Regulation Of Protein Metabolic Process	6
PMC9178829-1	Regulation Of Protein Modification Process	5
PMC9178829-1	T Cell Activation	3
PMC9178829-1	Exocytosis	5
PMC9178829-1	Kinase Binding	5
PMC9178829-1	Dna Binding Transcription Factor Activity	4
PMC9178829-1	Transcription Regulator Activity	4
PMC9178829-1	Cis Regulatory Region Sequence Specific Dna Binding	4
PMC9178829-1	Regulatory Region Nucleic Acid Binding	4
PMC9178829-1	Signaling Receptor Binding	5
PMC9178829-1	Histone Deacetylase Binding	4
PMC9178829-1	Protein Domain Specific Binding	5
PMC9178829-1	Transcription Factor Binding	4
PMC9178829-1	Sequence Specific Dna Binding	4
PMC9178829-1	Protein Containing Complex Binding	5
PMC9178829-1	Enzyme Regulator Activity	5
PMC9178829-1	Identical Protein Binding	5
PMC9178829-1	Enzyme Activator Activity	5
PMC9178829-1	Dna Binding Transcription Repressor Activity	4
PMC9178829-1	Guanyl Nucleotide Exchange Factor Activity	5
PMC9178829-1	Protein Tyrosine Serine Threonine Phosphatase Activity	5
PMC9178829-1	Dna Binding Ranscription Activator Activity	4
PMC9178829-1	Ribonucleotide Binding	4
PMC9178829-1	Ubiquitin Like Protein Ligase Bindinding	5
PMC9178829-1	Antigen Process And Presentatiation	3
PMC9178829-1	Pathways In Cancer	0
PMC9178829-1	Mapk Signaling Pathway	5
PMC9178829-1	Lysosome	5
PMC9159952-7	Mood Disorder	0
PMC9159952-7	Developmental Disorder Of Mental Health	0
PMC9159952-7	Pervasive Developmental Disorder	0
PMC9159952-7	Bipolar Disorder	1
PMC9159952-7	Autism Spectrum Disorder	2
PMC9159952-7	Autistic Disorder	2
PMC9159952-6	I-Set Domain Containing	1
PMC9159952-6	Fibronection Type Iii Domain Containing	2
PMC9159952-6	Ligand Gated Ion Channels	3
PMC9159952-6	Pdz Domain Containing	4
PMC9159952-6	Voltage-Gated Ion Channels	3
PMC9159952-6	Peptide Receptors	5
PMC9159952-5	Regulation Of Membrane Potential	1
PMC9159952-5	Synapse Organization	1
PMC9159952-5	Regulation Of Synapse Structure Or Activity	1
PMC9159952-5	Regulation Of Ion Transmembrane Transport	1
PMC9159952-5	Regulation Of Synapse Organiztion	1
PMC9159952-5	Axon Development	1
PMC9159952-4	Peptidyl-Lysine Trimethylation	1
PMC9159952-4	Methylation	2
PMC9159952-4	Ovulation Cycle Process	3
PMC9159952-4	Positive Regulation Of Inflammatory Response	4
PMC9159952-4	Lipid Storage	5
PMC9159952-3	Epilepsy Syndrome	1
PMC9159952-3	Pervasive Developmental Disorder	0
PMC9159952-3	Focal Epilepsy	1
PMC9159952-3	Autism Spectrum Disorder	2
PMC9159952-3	Autistic Disorder	2
PMC9159952-3	Temporal Lobe Epilepsy	1
PMC9159952-2	I-Set Domain Containing	1
PMC9159952-2	Voltage-Gated Ion Channels	2
PMC9159952-2	Ligand Gated Ion Channels	2
PMC9159952-2	Glutamate Receptors	2
PMC9159952-2	Iglon Cell Adhesion Molecules	3
PMC9159952-1	Synapse Organization	1
PMC9159952-1	Regulation Of Synapse Structure Or Activity	1
PMC9159952-1	Startle Response	2
PMC9159952-1	Synaptic Vesicle Cycle	1
PMC9159952-1	Regulation Of Ion Transmembrane Transport	3
PMC8983726-2	Regulation Of Cell Adhesion	1
PMC8983726-2	Glycolysis	2
PMC8983726-2	Inflammatory Response	3
PMC8983726-2	Leukocyte Migration	3
PMC8983726-2	Regulation Of Cytokine Production	3
PMC8983726-2	Adaptive Immune Response	3
PMC8983726-2	Leukocyte Activation Involved In Immune Response	3
PMC8983726-2	Positive Regulation Of Immune Response	3
PMC8983726-2	Neutrophil Degranulation	4
PMC8983726-2	Myeloid Leukocyte Activation	4
PMC8983726-1	Morphogenesis Of A Branching Epithelium	1
PMC8983726-1	Response To Growth Factor	1
PMC8983726-1	Pattern Specification Process	1
PMC8983726-1	Ossification	1
PMC8983726-1	Regulation Of Erk1 And Erk2 Cascade	2
PMC8983726-1	Positive Regulation Of Epithelial Cell Prliferation	1
PMC8983726-1	Cell-Substrate Adhesion	2
PMC8983726-1	Muscle Tissue Development	1
PMC8983726-1	Thermogenesis	3
PMC8983726-1	Odontogenesis Of Dentincontaining Tooth	1
PMC8967900	Cytokine-Cytokine Receptor Interaction	1
PMC8967900	Calucium Signaling Pathway	2
PMC8967900	Leukocyte Transendothelial Migration	1
PMC8967900	B Cell Receptor Singaling Pathway	3
PMC8967900	Fc Epsilon Ri Signaling Pathway	1
PMC8967900	Phosphatidylinositol Signaling System	1
PMC8967900	P53 Signaling Pathway	5
PMC8967900	T Cell Receptor Signaling Pathway	3
PMC8967900	Notch Signaling Pathway	2
PMC8967900	Mtor Signaling Pathway	2
PMC8967900	Basal Transcription Factors	2
PMC8967900	Spliceosome	2
PMC8967900	Oxidative Phosphorylation	4
PMC8967900	Proteasome	4
PMC8967900	Ribosome	4
PMC8831505-2	Glycolysis Gluconeogenesis	1
PMC8831505-2	Fructose And Mannose Metabolism	1
PMC8831505-2	Pentose Phosphate Pathway	1
PMC8831505-2	Metabolism Of Xenobiotics By Cytochrome P450	1
PMC8831505-2	Drug Metabolism Cytochrome P450	1
PMC8831505-2	Starch And Sucrose Metabolism	1
PMC8831505-2	Pyruvate Metabolism	1
PMC8831505-2	Glyoxylate And Dicarboxylate Metabolism	1
PMC8831505-2	Retinol Metabolism	1
PMC8831505-2	Galactose Metabolism	1
PMC8831505-2	Long Term Depression	2
PMC8831505-2	Inositol Phosphate Metabolism	3
PMC8831505-2	Cytokine/Cytokine Receptor Interaction	4
PMC8831505-2	Tgf-Beta Signaling Pathway	3
PMC8831505-2	Homologous Recombination	5
PMC8831505-2	Base Excision Repair	5
PMC8831505-2	Systemic Lupus Erythematosus	4
PMC8831505-2	Dna Replication	5
PMC8831505-2	Cell Cycle	5
PMC8831505-1	Hypoxia	1
PMC8831505-1	Glycolysis	1
PMC8831505-1	Mtorc1 Signaling	1
PMC8831505-1	Hememetabolism	1
PMC8831505-1	Cholesterol Homeostasis	1
PMC8831505-1	Fatty Acid Metabolism	1
PMC8831505-1	Il2 Stat5 Signaling	2
PMC8831505-1	Myogenesis	3
PMC8831505-1	Oxidative Phosphorylation	1
PMC8831505-1	Kras Signaling Up	3
PMC8831505-1	Estrogen Response Early	3
PMC8831505-1	Unfolded Protein Response	3
PMC8831505-1	Apical Junction	3
PMC8831505-1	Inflammatory Response	2
PMC8831505-1	Tgf-Beta Signaling	3
PMC8831505-1	Myc Targets V2	1
PMC8831505-1	Mitotic Spindle	4
PMC8831505-1	Interferon Gamma Response	2
PMC8831505-1	Interferon Alpha Response	2
PMC8831505-1	G2M Checkpoint	4
PMC8831505-1	E2F Targets	1
PMC10264249-2	Cell Proliferation	1
PMC10264249-2	Membrane Fusion	2
PMC10264249-2	Retrograde Vesicle-Mediated Transport, Golgi To Er	2
PMC10264249-2	Response To Oxidative Stress	3
PMC10264249-2	Dna Replication	1
PMC10264249-2	Mrna Splicing, Via Spliceosome	4
PMC10264249-2	Wnt Signaling Pathway	5
PMC10264249-2	Positive Regulation Of Transcription From Rna Pol Ii Promoter	4
PMC10264249-2	Double-Strand Break Repair Via Homologous Recombination	1
PMC10264249-2	Hippo Signaling Pathway	5
PMC10264249-2	Cell Cycle	1
PMC10264249-1	Wnt Signaling Pathway	1
PMC10264249-1	C-Met Signaling Pathway	1
PMC10264249-1	B Cell Receptor (Bcr) Signaling Pathway	2
PMC10264249-1	Phosphatidylinositol (3,4,5)-Trisphosphate (Pip3) Signaling In B Lymphocytes	1
PMC10264249-1	Creb Pathway	1
PMC10202813-8	Regulation Of Postsynaptic Membrane Potential	1
PMC10202813-8	Central Nervous System Neuron Differentiation	1
PMC10202813-8	Glutamate Receptor Signaling Pathway	1
PMC10202813-8	Modulation Of Chemical Synaptic Transmission	1
PMC10202813-8	Regulation Of Trans-Synaptic Signaling	1
PMC10202813-8	Rna Splicing	2
PMC10202813-8	Regulation Of Chromosome Organization	3
PMC10202813-8	Mitotic Nuclear Division	3
PMC10202813-8	Proteasomal Protein Catabolic Process	4
PMC10202813-8	Cell Cycle Checkpoint	3
PMC10202813-7	Keratinization	1
PMC10202813-7	Keratinocyte Differentiation	1
PMC10202813-7	Epidermal Cell Differentiation	1
